ID,Name,Type,Faction,Influence,Agenda
02014,"Braintrust",Agenda,Jinteki,0,2
02015,"Snowflake",ICE,Jinteki,2,0
02016,"Restructured Datapool",Agenda,NBN,0,3
02017,"TMI",ICE,NBN,1,0
02018,"Project Atlas",Agenda,Weyland,0,2
02019,"Caduceus",ICE,Weyland,2,0
02020,"Dracō",ICE,Neutral,0,0
02021,"Vamp",Event,Anarch,2,0
02022,"Liberated Account",Resource,Anarch,2,0
02023,"Satellite Uplink",Event,Criminal,3,0
02024,"e3 Feedback Implants",Hardware,Criminal,2,0
02025,"Compromised Employee",Resource,Criminal,1,0
02026,"Notoriety",Event,Shaper,1,0
02027,"Snowball",Program,Shaper,2,0
02028,"Dyson Mem Chip",Hardware,Neutral,0,0
02029,"Encryption Protocol",Asset,HaasBioroid,1,0
02030,"Sherlock 1.0",ICE,HaasBioroid,2,0
02031,"Jinteki: Replicating Perfection",Identity,Jinteki,15,0
02032,"Fetal AI",Agenda,Jinteki,0,2
02033,"Trick of Light",Operation,Jinteki,3,0
02034,"Sensei",ICE,Jinteki,1,0
02035,"Big Brother",Operation,NBN,1,0
02036,"ChiLo City Grid",Upgrade,NBN,2,0
02037,"Power Grid Overload",Operation,Weyland,1,0
02038,"Amazon Industrial Zone",Upgrade,Weyland,1,0
02039,"Executive Retreat",Agenda,Neutral,0,3
02040,"Freelancer",Operation,Neutral,0,0
02041,"Nerve Agent",Program,Anarch,2,0
02042,"Joshua B.",Resource,Anarch,3,0
02043,"Emergency Shutdown",Event,Criminal,2,0
02044,"Muresh Bodysuit",Hardware,Criminal,1,0
02045,"Snitch",Program,Criminal,2,0
02046,"Chaos Theory: Wà¼nderkind",Identity,Shaper,15,0
02047,"Test Run",Event,Shaper,3,0
02048,"Dinosaurus",Hardware,Shaper,2,0
02049,"Personal Workshop",Resource,Shaper,4,0
02050,"Public Sympathy",Resource,Neutral,0,0
02051,"Project Vitruvius",Agenda,HaasBioroid,0,2
02052,"Viper",ICE,HaasBioroid,1,0
02053,"Edge of World",Asset,Jinteki,2,0
02054,"Sunset",Operation,Jinteki,1,0
02055,"Marked Accounts",Asset,NBN,1,0
02056,"Pop-up Window",ICE,NBN,1,0
02057,"Woodcutter",ICE,Weyland,3,0
02058,"Commercialization",Operation,Weyland,1,0
02059,"Private Contracts",Asset,Neutral,0,0
02060,"Chimera",ICE,Neutral,0,0
02061,"Disrupter",Program,Anarch,1,0
02062,"Force of Nature",Program,Anarch,1,0
02063,"Scrubber",Resource,Anarch,1,0
02064,"Doppelgà¤nger",Hardware,Criminal,2,0
02065,"Crescentus",Program,Criminal,1,0
02066,"Deus X",Program,Shaper,1,0
02067,"All-nighter",Resource,Shaper,2,0
02068,"Inside Man",Resource,Neutral,0,0
02069,"Underworld Contact",Resource,Neutral,0,0
02070,"Green Level Clearance",Operation,HaasBioroid,1,0
02071,"Hourglass",ICE,HaasBioroid,2,0
02072,"Dedicated Server",Asset,Jinteki,2,0
02073,"Bullfrog",ICE,Jinteki,2,0
02074,"Uroboros",ICE,NBN,2,0
02075,"Net Police",Asset,NBN,2,0
02076,"Weyland Consortium: Because We Built It",Identity,Weyland,15,0
02077,"Government Contracts",Agenda,Weyland,0,3
02078,"Tyrant",ICE,Weyland,2,0
02079,"Oversight AI",Operation,Weyland,2,0
02080,"False Lead",Agenda,Neutral,0,1
02081,"Surge",Event,Anarch,1,0
02082,"Xanadu",Resource,Anarch,2,0
02083,"Andromeda: Dispossessed Ristie",Identity,Criminal,15,0
02084,"Networking",Event,Criminal,1,0
02085,"HQ Interface",Hardware,Criminal,2,0
02086,"Pheromones",Program,Criminal,2,0
02087,"Quality Time",Event,Shaper,1,0
02088,"Replicator",Hardware,Shaper,2,0
02089,"Creeper",Program,Shaper,1,0
02090,"Kraken",Event,Neutral,0,0
02091,"Kati Jones",Resource,Neutral,0,0
02092,"Eve Campaign",Asset,HaasBioroid,3,0
02093,"Rework",Operation,HaasBioroid,1,0
02094,"Whirlpool",ICE,Jinteki,2,0
02095,"Hokusai Grid",Upgrade,Jinteki,2,0
02096,"Data Hound",ICE,NBN,1,0
02097,"Bernice Mai",Upgrade,NBN,2,0
02098,"Salvage",ICE,Weyland,2,0
02099,"Simone Diego",Upgrade,Weyland,2,0
02100,"Foxfire",Operation,Neutral,0,0
02101,"Retrieval Run",Event,Anarch,2,0
02102,"Darwin",Program,Anarch,3,0
02103,"Data Leak Reversal",Resource,Anarch,1,0
02104,"Faerie",Program,Criminal,3,0
02105,"Mr. Li",Resource,Criminal,2,0
02106,"Indexing",Event,Shaper,3,0
02107,"R&D Interface",Hardware,Shaper,2,0
02108,"Deep Thought",Program,Shaper,2,0
02109,"New Angeles City Hall",Resource,Neutral,0,0
02110,"Eli 1.0",ICE,HaasBioroid,1,0
02111,"Ruhr Valley",Upgrade,HaasBioroid,3,0
02112,"Ronin",Asset,Jinteki,4,0
02113,"Midori",Upgrade,Jinteki,3,0
02114,"NBN: The World is Yours*",Identity,NBN,12,0
02115,"Project Beale",Agenda,NBN,0,2
02116,"Midseason Replacements",Operation,NBN,4,0
02117,"Flare",ICE,NBN,3,0
02118,"Dedicated Response Team",Asset,Weyland,3,0
02119,"Burke Bugs",ICE,Weyland,1,0
02120,"Corporate War",Agenda,Neutral,0,2
03001,"Cerebral Imaging: Infinite Frontiers",Identity,HaasBioroid,15,0
03002,"Custom Biotics: Engineered for Success",Identity,HaasBioroid,22,0
03003,"NEXT Design: Guarding the Net",Identity,HaasBioroid,12,0
03004,"Director Haas' Pet Project",Agenda,HaasBioroid,0,1
03005,"Efficiency Committee",Agenda,HaasBioroid,0,2
03006,"Project Wotan",Agenda,HaasBioroid,0,3
03007,"Sentinel Defense Program",Agenda,HaasBioroid,0,2
03008,"Alix T4LB07",Asset,HaasBioroid,1,0
03009,"Cerebral Overwriter",Asset,HaasBioroid,2,0
03010,"Director Haas",Asset,HaasBioroid,5,0
03011,"Haas Arcology AI",Asset,HaasBioroid,4,0
03012,"Thomas Haas",Asset,HaasBioroid,1,0
03013,"Bioroid Efficiency Research",Operation,HaasBioroid,2,0
03014,"Successful Demonstration",Operation,HaasBioroid,1,0
03015,"Heimdall 2.0",ICE,HaasBioroid,3,0
03016,"Howler",ICE,HaasBioroid,1,0
03017,"Ichi 2.0",ICE,HaasBioroid,3,0
03018,"Minelayer",ICE,HaasBioroid,1,0
03019,"Viktor 2.0",ICE,HaasBioroid,3,0
03020,"Zed 1.0",ICE,HaasBioroid,2,0
03021,"Awakening Center",Upgrade,HaasBioroid,1,0
03022,"Tyr's Hand",Upgrade,HaasBioroid,1,0
03023,"Gila Hands Arcology",Agenda,Neutral,0,1
03024,"Levy University",Asset,Neutral,0,0
03025,"Server Diagnostics",Asset,Neutral,0,0
03026,"Bastion",ICE,Neutral,0,0
03027,"Datapike",ICE,Neutral,0,0
03028,"Rielle ""Kit"" Peddler: Transhuman",Identity,Shaper,10,0
03029,"The Professor: Keeper of Knowledge",Identity,Shaper,1,0
03030,"Exile: Streethawk",Identity,Shaper,15,0
03031,"Escher",Event,Shaper,5,0
03032,"Exploratory Romp",Event,Shaper,2,0
03033,"Freelance Coding Contract",Event,Shaper,1,0
03034,"Scavenge",Event,Shaper,2,0
03035,"Levy AR Lab Access",Event,Shaper,3,0
03036,"Monolith",Hardware,Shaper,3,0
03037,"Feedback Filter",Hardware,Shaper,1,0
03038,"Clone Chip",Hardware,Shaper,2,0
03039,"Omni-Drive",Hardware,Shaper,3,0
03040,"Atman",Program,Shaper,3,0
03041,"Cloak",Program,Shaper,2,0
03042,"Dagger",Program,Shaper,2,0
03043,"Chakana",Program,Shaper,2,0
03044,"Cyber-Cypher",Program,Shaper,3,0
03045,"Paricia",Program,Shaper,1,0
03046,"Self-modifying Code",Program,Shaper,3,0
03047,"Sahasrara",Program,Shaper,2,0
03048,"Inti",Program,Shaper,1,0
03049,"Professional Contacts",Resource,Shaper,2,0
03050,"Borrowed Satellite",Resource,Shaper,2,0
03051,"Ice Analyzer",Resource,Shaper,1,0
03052,"Dirty Laundry",Event,Neutral,0,0
03053,"Daily Casts",Resource,Neutral,0,0
03054,"Same Old Thing",Resource,Neutral,0,0
03055,"The Source",Resource,Neutral,2,0
04001,"Frame Job",Event,Anarch,2,0
04002,"Pawn",Program,Anarch,1,0
04003,"Rook",Program,Anarch,2,0
04004,"Hostage",Event,Criminal,2,0
04005,"Gorman Drip v1",Program,Criminal,1,0
04006,"Lockpick",Hardware,Shaper,3,0
04007,"False Echo",Program,Shaper,2,0
04008,"Motivation",Resource,Shaper,1,0
04009,"John Masanori",Resource,Neutral,0,0
04010,"Project Ares",Agenda,HaasBioroid,0,2
04011,"NEXT Bronze",ICE,HaasBioroid,2,0
04012,"Celebrity Gift",Operation,Jinteki,3,0
04013,"Himitsu-Bako",ICE,Jinteki,2,0
04014,"Character Assassination",Agenda,NBN,0,2
04015,"Jackson Howard",Asset,NBN,1,0
04016,"Invasion of Privacy",Operation,NBN,3,0
04017,"Geothermal Fracking",Agenda,Weyland,0,2
04018,"Swarm",ICE,Weyland,4,0
04019,"Cyberdex Trial",Operation,Neutral,0,0
04020,"Grim",ICE,Neutral,0,0
04021,"Bishop",Program,Anarch,2,0
04022,"Scheherazade",Program,Anarch,1,0
04023,"Hard at Work",Resource,Anarch,2,0
04024,"Recon",Event,Criminal,2,0
04025,"Copycat",Program,Criminal,1,0
04026,"Leviathan",Program,Criminal,2,0
04027,"Eureka!",Event,Shaper,1,0
04028,"Record Reconstructor",Hardware,Shaper,1,0
04029,"Prepaid VoicePAD",Hardware,Neutral,0,0
04030,"Wotan",ICE,HaasBioroid,5,0
04031,"Hellion Alpha Test",Operation,HaasBioroid,3,0
04032,"Clone Retirement",Agenda,Jinteki,0,1
04033,"Swordsman",ICE,Jinteki,1,0
04034,"Shipment from SanSan",Operation,NBN,1,0
04035,"Muckraker",ICE,NBN,3,0
04036,"The Cleaners",Agenda,Weyland,0,3
04037,"Elizabeth Mills",Asset,Weyland,2,0
04038,"Off the Grid",Upgrade,Weyland,3,0
04039,"Profiteering",Agenda,Neutral,0,1
04040,"Restructure",Operation,Neutral,0,0
04041,"Reina Roja: Freedom Fighter",Identity,Anarch,15,0
04042,"Deep Red",Hardware,Anarch,1,0
04043,"Knight",Program,Anarch,2,0
04044,"Running Interference",Event,Criminal,4,0
04045,"Expert Schedule Analyzer",Program,Criminal,2,0
04046,"Grifter",Resource,Criminal,1,0
04047,"Torch",Program,Shaper,4,0
04048,"Woman in the Red Dress",Resource,Shaper,4,0
04049,"Raymond Flint",Resource,Neutral,0,0
04050,"Isabel McGuire",Asset,HaasBioroid,1,0
04051,"Hudson 1.0",ICE,HaasBioroid,1,0
04052,"Accelerated Diagnostics",Operation,HaasBioroid,1,0
04053,"Unorthodox Predictions",Agenda,Jinteki,0,1
04054,"Sundew",Asset,Jinteki,3,0
04055,"City Surveillance",Asset,NBN,4,0
04056,"Snoop",ICE,NBN,2,0
04057,"Ireress",ICE,Weyland,1,0
04058,"Power Shutdown",Operation,Weyland,2,0
04059,"Paper Wall",ICE,Neutral,0,0
04060,"Interns",Operation,Neutral,0,0
04061,"Keyhole",Program,Anarch,3,0
04062,"Activist Support",Resource,Anarch,2,0
04063,"Lawyer Up",Event,Criminal,1,0
04064,"Leverage",Event,Criminal,2,0
04065,"Garrote",Program,Criminal,3,0
04066,"LLDS Processor",Hardware,Shaper,1,0
04067,"Sharpshooter",Program,Shaper,1,0
04068,"Capstone",Hardware,Shaper,3,0
04069,"Starlight Crusade Funding",Resource,Neutral,0,0
04070,"Rex Campaign",Asset,HaasBioroid,2,0
04071,"Fenris",ICE,HaasBioroid,2,0
04072,"Panic Button",Upgrade,HaasBioroid,1,0
04073,"Shock!",Asset,Jinteki,2,0
04074,"Tsurugi",ICE,Jinteki,2,0
04075,"TGTBT",Agenda,NBN,0,1
04076,"Sweeps Week",Operation,NBN,2,0
04077,"RSVP",ICE,NBN,2,0
04078,"Curtain Wall",ICE,Weyland,2,0
04079,"Punitive Counterstrike",Operation,Weyland,2,0
04080,"Veterans Program",Agenda,Neutral,0,1
04081,"Quest Completed",Event,Anarch,2,0
04082,"Hemorrhage",Program,Anarch,4,0
04083,"Tallie Perrault",Resource,Anarch,3,0
04084,"Executive Wiretaps",Event,Criminal,3,0
04085,"Blackguard",Hardware,Criminal,2,0
04086,"CyberSolutions Mem Chip",Hardware,Shaper,2,0
04087,"Alpha",Program,Shaper,3,0
04088,"Omega",Program,Shaper,3,0
04089,"Blackmail",Event,Neutral,0,0
04090,"Blue Level Clearance",Operation,HaasBioroid,2,0
04091,"Strongbox",Upgrade,HaasBioroid,2,0
04092,"Toshiyuki Sakai",Asset,Jinteki,2,0
04093,"Yagura",ICE,Jinteki,2,0
04094,"Restoring Face",Operation,Jinteki,2,0
04095,"Market Research",Agenda,NBN,0,2
04096,"Wraparound",ICE,NBN,1,0
04097,"GRNDL: Power Unleashed",Identity,Weyland,10,0
04098,"Vulcan Coverup",Agenda,Weyland,0,1
04099,"GRNDL Refinery",Asset,Weyland,2,0
04100,"Subliminal Messaging",Operation,Neutral,0,0
04101,"Singularity",Event,Anarch,3,0
04102,"Queen's Gambit",Event,Anarch,3,0
04103,"Dyson Fractal Generator",Hardware,Anarch,3,0
04104,"Silencer",Hardware,Criminal,3,0
04105,"Savoir-faire",Program,Criminal,3,0
04106,"Fall Guy",Resource,Criminal,1,0
04107,"Power Nap",Event,Shaper,2,0
04108,"Paintbrush",Program,Shaper,4,0
04109,"Lucky Find",Event,Neutral,2,0
04110,"Gyri Labyrinth",ICE,HaasBioroid,2,0
04111,"Reclamation Order",Operation,HaasBioroid,2,0
04112,"Broadcast Square",Asset,NBN,3,0
04113,"Corporate Shuffle",Operation,NBN,2,0
04114,"Caprice Nisei",Upgrade,Jinteki,4,0
04115,"Shinobi",ICE,Jinteki,3,0
04116,"Marker",ICE,Jinteki,1,0
04117,"Hive",ICE,Weyland,2,0
04118,"Witness Tampering",Operation,Weyland,1,0
04119,"NAPD Contract",Agenda,Neutral,0,2
04120,"Quandary",ICE,Neutral,0,0
05001,"Harmony Medtech: Biomedical Pioneer",Identity,Jinteki,12,0
05002,"Nisei Division: The Next Generation",Identity,Jinteki,15,0
05003,"Tennin Institute: The Secrets Within",Identity,Jinteki,15,0
05004,"House of Knives",Agenda,Jinteki,0,1
05005,"Medical Breakthrough",Agenda,Jinteki,0,2
05006,"Philotic Entanglement",Agenda,Jinteki,0,2
05007,"The Future Perfect",Agenda,Jinteki,0,3
05008,"Chairman Hiro",Asset,Jinteki,5,0
05009,"Mental Health Clinic",Asset,Jinteki,2,0
05010,"Psychic Field",Asset,Jinteki,1,0
05011,"Shi.Kyū",Asset,Jinteki,4,0
05012,"Tenma Line",Asset,Jinteki,3,0
05013,"Cerebral Cast",Operation,Jinteki,3,0
05014,"Medical Research Fundraiser",Operation,Jinteki,1,0
05015,"Mushin No Shin",Operation,Jinteki,2,0
05016,"Inazuma",ICE,Jinteki,2,0
05017,"Komainu",ICE,Jinteki,4,0
05018,"Pup",ICE,Jinteki,1,0
05019,"Shiro",ICE,Jinteki,4,0
05020,"Susanoo-No-Mikoto",ICE,Jinteki,3,0
05021,"NeoTokyo Grid",Upgrade,Jinteki,2,0
05022,"Tori Hanzō",Upgrade,Jinteki,4,0
05023,"Plan B",Asset,Neutral,0,0
05024,"Guard",ICE,Neutral,0,0
05025,"Rainbow",ICE,Neutral,0,0
05026,"Diversified Portfolio",Operation,Neutral,0,0
05027,"Fast Track",Operation,Neutral,0,0
05028,"Iain Stirling: Retired Spook",Identity,Criminal,10,0
05029,"Ken ""Express"" Tenma: Disappeared Clone",Identity,Criminal,17,0
05030,"Silhouette: Stealth Operative",Identity,Criminal,15,0
05031,"Calling in Favors",Event,Criminal,1,0
05032,"Early Bird",Event,Criminal,2,0
05033,"Express Delivery",Event,Criminal,1,0
05034,"Feint",Event,Criminal,3,0
05035,"Legwork",Event,Criminal,2,0
05036,"Planned Assault",Event,Criminal,2,0
05037,"Logos",Hardware,Criminal,2,0
05038,"Public Terminal",Hardware,Criminal,2,0
05039,"Unregistered S&W '35",Hardware,Criminal,3,0
05040,"Window",Hardware,Criminal,1,0
05041,"Alias",Program,Criminal,2,0
05042,"Breach",Program,Criminal,2,0
05043,"Bug",Program,Criminal,1,0
05044,"Gingerbread",Program,Criminal,2,0
05045,"Grappling Hook",Program,Criminal,2,0
05046,"Passport",Program,Criminal,2,0
05047,"Push Your Luck",Event,Criminal,1,0
05048,"Security Testing",Resource,Criminal,3,0
05049,"Theophilius Bagbiter",Resource,Criminal,4,0
05050,"Tri-maf Contact",Resource,Criminal,1,0
05051,"Mass Install",Event,Neutral,0,0
05052,"Q-Coherence Chip",Hardware,Neutral,0,0
05053,"Overmind",Program,Neutral,0,0
05054,"Oracle May",Resource,Neutral,1,0
05055,"Donut Taganes",Resource,Neutral,2,0
06001,"Domestic Sleepers",Agenda,HaasBioroid,0,0
06002,"NEXT Silver",ICE,HaasBioroid,2,0
06003,"Lotus Field",ICE,Jinteki,1,0
06004,"Mutate",Operation,Jinteki,3,0
06005,"Near-Earth Hub: Broadcast Center",Identity,NBN,17,0
06006,"Primary Transmission Dish",Asset,NBN,2,0
06007,"Midway Station Grid",Upgrade,NBN,4,0
06008,"The Root",Asset,Weyland,3,0
06009,"Taurus",ICE,Weyland,2,0
06010,"Mother Goddess",ICE,Neutral,0,0
06011,"Galahad",ICE,Neutral,1,0
06012,"Bad Times",Operation,Neutral,0,0
06013,"Cyber Threat",Event,Anarch,3,0
06014,"Lamprey",Program,Anarch,2,0
06015,"Paper Tripping",Event,Criminal,2,0
06016,"Power Tap",Resource,Criminal,1,0
06017,"Nasir Meidan: Cyber Explorer",Identity,Shaper,15,0
06018,"Social Engineering",Event,Shaper,2,0
06019,"Leprechaun",Program,Shaper,2,0
06020,"Eden Shard",Resource,Neutral,1,0
06021,"The Foundry: Refining the Process",Identity,HaasBioroid,15,0
06022,"Enhanced Login Protocol",Operation,HaasBioroid,2,0
06023,"Heinlein Grid",Upgrade,HaasBioroid,2,0
06024,"Encrypted Portals",Agenda,Jinteki,0,1
06025,"Cerebral Static",Operation,Jinteki,2,0
06026,"Targeted Marketing",Operation,NBN,1,0
06027,"Information Overload",ICE,NBN,2,0
06028,"Paywall Implementation",Operation,Weyland,2,0
06029,"Sealed Vault",Asset,Weyland,1,0
06030,"Eden Fragment",Agenda,Neutral,0,3
06031,"Lag Time",Operation,Neutral,0,0
06032,"Will-o'-the-Wisp",Upgrade,Neutral,0,0
06033,"D4v1d",Program,Anarch,4,0
06034,"Scrubbed",Event,Anarch,2,0
06035,"Three Steps Ahead",Event,Criminal,2,0
06036,"Unscheduled Maintenance",Event,Criminal,2,0
06037,"Cache",Program,Criminal,1,0
06038,"Net Celebrity",Event,Shaper,1,0
06039,"LLDS Energy Regulator",Program,Shaper,1,0
06040,"Ghost Runner",Resource,Neutral,0,0
06041,"IQ",ICE,HaasBioroid,2,0
06042,"Eliza's Toybox",Asset,HaasBioroid,2,0
06043,"Kitsune",ICE,Jinteki,2,0
06044,"Port Anson Grid",Upgrade,Jinteki,2,0
06045,"The News Now Hour",Asset,NBN,3,0
06046,"Manhunt",Operation,NBN,3,0
06047,"Wendigo",ICE,Weyland,2,0
06048,"Crisium Grid",Upgrade,Weyland,1,0
06049,"Chronos Project",Agenda,Neutral,0,1
06050,"Shattered Remains",Asset,Neutral,0,0
06051,"Lancelot",ICE,Neutral,1,0
06052,"Quetzal: Free Spirit",Identity,Anarch,15,0
06053,"BlacKat",Program,Anarch,3,0
06054,"Duggar's",Resource,Anarch,4,0
06055,"Box-E",Hardware,Criminal,1,0
06056,"The Supplier",Resource,Criminal,2,0
06057,"Refractor",Program,Shaper,2,0
06058,"Order of Sol",Resource,Shaper,1,0
06059,"Hades Shard",Resource,Neutral,1,0
06060,"Rachel Beckman",Resource,Neutral,1,0
06061,"Architect",ICE,HaasBioroid,2,0
06062,"Peak Efficiency",Operation,HaasBioroid,1,0
06063,"Labyrinthine Servers",Agenda,Jinteki,0,3
06064,"Ashigaru",ICE,Jinteki,3,0
06065,"Mamba",ICE,Jinteki,2,0
06066,"Reversed Accounts",Asset,NBN,1,0
06067,"Universal Connectivity Fee",ICE,NBN,1,0
06068,"Blue Sun: Powering the Future",Identity,Weyland,15,0
06069,"Changeling",ICE,Weyland,2,0
06070,"Reuse",Operation,Weyland,1,0
06071,"Hades Fragment",Agenda,Neutral,0,3
06072,"Docklands Crackdown",Asset,Neutral,0,0
06073,"Inject",Event,Anarch,2,0
06074,"Origami",Program,Anarch,2,0
06075,"Fester",Resource,Anarch,1,0
06076,"Autoscripter",Hardware,Criminal,3,0
06077,"Switchblade",Program,Criminal,2,0
06078,"Trade-In",Event,Shaper,2,0
06079,"Astrolabe",Hardware,Shaper,2,0
06080,"Angel Arena",Resource,Neutral,0,0
06081,"Bifrost Array",Agenda,HaasBioroid,0,1
06082,"Sagittarius",ICE,HaasBioroid,2,0
06083,"Hostile Infrastructure",Asset,Jinteki,2,0
06084,"Gemini",ICE,Jinteki,2,0
06085,"License Acquisition",Agenda,NBN,0,1
06086,"Daily Business Show",Asset,NBN,1,0
06087,"Superior Cyberwalls",Agenda,Weyland,0,1
06088,"Executive Boot Camp",Asset,Weyland,1,0
