ID, Name, Type, Faction, Influence
04002,"Pawn",Program,Anarch,1
04003,"Rook",Program,Anarch,2
04004,"Hostage",Event,Criminal,2
04005,"Gorman Drip v1",Program,Criminal,1
04006,"Lockpick",Hardware,Shaper,3
04007,"False Echo",Program,Shaper,2
04008,"Motivation",Resource,Shaper,1
04009,"John Masanori",Resource,Neutral,0
04010,"Project Ares",Agenda,HaasBioroid,0
04011,"NEXT Bronze",ICE,HaasBioroid,2
04012,"Celebrity Gift",Operation,Jinteki,3
04013,"Himitsu-Bako",ICE,Jinteki,2
04014,"Character Assassination",Agenda,NBN,0
04015,"Jackson Howard",Asset,NBN,1
04016,"Invasion of Privacy",Operation,NBN,3
04017,"Geothermal Fracking",Agenda,Weyland,0
04018,"Swarm",ICE,Weyland,4
04019,"Cyberdex Trial",Operation,Neutral,0
04020,"Grim",ICE,Neutral,0
04021,"Bishop",Program,Anarch,2
04022,"Scheherazade",Program,Anarch,1
04023,"Hard at Work",Resource,Anarch,2
04024,"Recon",Event,Criminal,2
04025,"Copycat",Program,Criminal,1
04026,"Leviathan",Program,Criminal,2
04027,"Eureka!",Event,Shaper,1
04028,"Record Reconstructor",Hardware,Shaper,1
04029,"Prepaid VoicePAD",Hardware,Neutral,0
04030,"Wotan",ICE,HaasBioroid,5
04031,"Hellion Alpha Test",Operation,HaasBioroid,3
04032,"Clone Retirement",Agenda,Jinteki,0
04033,"Swordsman",ICE,Jinteki,1
04034,"Shipment from SanSan",Operation,NBN,1
04035,"Muckraker",ICE,NBN,3
04036,"The Cleaners",Agenda,Weyland,0
04037,"Elizabeth Mills",Asset,Weyland,2
04038,"Off the Grid",Upgrade,Weyland,3
04039,"Profiteering",Agenda,Neutral,0
04040,"Restructure",Operation,Neutral,0
04041,"Reina Roja: Freedom Fighter",Identity,Anarch,15
04042,"Deep Red",Hardware,Anarch,1
04043,"Knight",Program,Anarch,2
04044,"Running Interference",Event,Criminal,4
04045,"Expert Schedule Analyzer",Program,Criminal,2
04046,"Grifter",Resource,Criminal,1
04047,"Torch",Program,Shaper,4
04048,"Woman in the Red Dress",Resource,Shaper,4
04049,"Raymond Flint",Resource,Neutral,0
04050,"Isabel McGuire",Asset,HaasBioroid,1
04051,"Hudson 1.0",ICE,HaasBioroid,1
04052,"Accelerated Diagnostics",Operation,HaasBioroid,1
04053,"Unorthodox Predictions",Agenda,Jinteki,0
04054,"Sundew",Asset,Jinteki,3
04055,"City Surveillance",Asset,NBN,4
04056,"Snoop",ICE,NBN,2
04057,"Ireress",ICE,Weyland,1
04058,"Power Shutdown",Operation,Weyland,2
04059,"Paper Wall",ICE,Neutral,0
04060,"Interns",Operation,Neutral,0
04061,"Keyhole",Program,Anarch,3
04062,"Activist Support",Resource,Anarch,2
04063,"Lawyer Up",Event,Criminal,1
04064,"Leverage",Event,Criminal,2
04065,"Garrote",Program,Criminal,3
04066,"LLDS Processor",Hardware,Shaper,1
04067,"Sharpshooter",Program,Shaper,1
04068,"Capstone",Hardware,Shaper,3
04069,"Starlight Crusade Funding",Resource,Neutral,0
04070,"Rex Campaign",Asset,HaasBioroid,2
04071,"Fenris",ICE,HaasBioroid,2
04072,"Panic Button",Upgrade,HaasBioroid,1
04073,"Shock!",Asset,Jinteki,2
04074,"Tsurugi",ICE,Jinteki,2
04075,"TGTBT",Agenda,NBN,0
04076,"Sweeps Week",Operation,NBN,2
04077,"RSVP",ICE,NBN,2
04078,"Curtain Wall",ICE,Weyland,2
04079,"Punitive Counterstrike",Operation,Weyland,2
04080,"Veterans Program",Agenda,Neutral,0
04081,"Quest Completed",Event,Anarch,2
04082,"Hemorrhage",Program,Anarch,4
04083,"Tallie Perrault",Resource,Anarch,3
04084,"Executive Wiretaps",Event,Criminal,3
04085,"Blackguard",Hardware,Criminal,2
04086,"CyberSolutions Mem Chip",Hardware,Shaper,2
04087,"Alpha",Program,Shaper,3
04088,"Omega",Program,Shaper,3
04089,"Blackmail",Event,Neutral,0
04090,"Blue Level Clearance",Operation,HaasBioroid,2
04091,"Strongbox",Upgrade,HaasBioroid,2
04092,"Toshiyuki Sakai",Asset,Jinteki,2
04093,"Yagura",ICE,Jinteki,2
04094,"Restoring Face",Operation,Jinteki,2
04095,"Market Research",Agenda,NBN,0
04096,"Wraparound",ICE,NBN,1
04097,"GRNDL: Power Unleashed",Identity,Weyland,10
04098,"Vulcan Coverup",Agenda,Weyland,0
04099,"GRNDL Refinery",Asset,Weyland,2
04100,"Subliminal Messaging",Operation,Neutral,0
04101,"Singularity",Event,Anarch,3
04102,"Queen's Gambit",Event,Anarch,3
04103,"Dyson Fractal Generator",Hardware,Anarch,3
04104,"Silencer",Hardware,Criminal,3
04105,"Savoir-faire",Program,Criminal,3
04106,"Fall Guy",Resource,Criminal,1
04107,"Power Nap",Event,Shaper,2
04108,"Paintbrush",Program,Shaper,4
04109,"Lucky Find",Event,Neutral,2
04110,"Gyri Labyrinth",ICE,HaasBioroid,2
04111,"Reclamation Order",Operation,HaasBioroid,2
04112,"Broadcast Square",Asset,NBN,3
04113,"Corporate Shuffle",Operation,NBN,2
04114,"Caprice Nisei",Upgrade,Jinteki,4
04115,"Shinobi",ICE,Jinteki,3
04116,"Marker",ICE,Jinteki,1
04117,"Hive",ICE,Weyland,2
04118,"Witness Tampering",Operation,Weyland,1
04119,"NAPD Contract",Agenda,Neutral,0
04120,"Quandary",ICE,Neutral,0
05001,"Harmony Medtech: Biomedical Pioneer",Identity,Jinteki,12
05002,"Nisei Division: The Next Generation",Identity,Jinteki,15
05003,"Tennin Institute: The Secrets Within",Identity,Jinteki,15
05004,"House of Knives",Agenda,Jinteki,0
05005,"Medical Breakthrough",Agenda,Jinteki,0
05006,"Philotic Entanglement",Agenda,Jinteki,0
05007,"The Future Perfect",Agenda,Jinteki,0
05008,"Chairman Hiro",Asset,Jinteki,5
05009,"Mental Health Clinic",Asset,Jinteki,2
05010,"Psychic Field",Asset,Jinteki,1
05011,"Shi.Kyū",Asset,Jinteki,4
05012,"Tenma Line",Asset,Jinteki,3
05013,"Cerebral Cast",Operation,Jinteki,3
05014,"Medical Research Fundraiser",Operation,Jinteki,1
05015,"Mushin No Shin",Operation,Jinteki,2
05016,"Inazuma",ICE,Jinteki,2
05017,"Komainu",ICE,Jinteki,4
05018,"Pup",ICE,Jinteki,1
05019,"Shiro",ICE,Jinteki,4
05020,"Susanoo-No-Mikoto",ICE,Jinteki,3
05021,"NeoTokyo Grid",Upgrade,Jinteki,2
05022,"Tori Hanzō",Upgrade,Jinteki,4
05023,"Plan B",Asset,Neutral,0
05024,"Guard",ICE,Neutral,0
05025,"Rainbow",ICE,Neutral,0
05026,"Diversified Portfolio",Operation,Neutral,0
05027,"Fast Track",Operation,Neutral,0
05028,"Iain Stirling: Retired Spook",Identity,Criminal,10
05029,"Ken ""Express"" Tenma: Disappeared Clone",Identity,Criminal,17
05030,"Silhouette: Stealth Operative",Identity,Criminal,15
05031,"Calling in Favors",Event,Criminal,1
05032,"Early Bird",Event,Criminal,2
05033,"Express Delivery",Event,Criminal,1
05034,"Feint",Event,Criminal,3
05035,"Legwork",Event,Criminal,2
05036,"Planned Assault",Event,Criminal,2
05037,"Logos",Hardware,Criminal,2
05038,"Public Terminal",Hardware,Criminal,2
05039,"Unregistered S&W '35",Hardware,Criminal,3
05040,"Window",Hardware,Criminal,1
05041,"Alias",Program,Criminal,2
05042,"Breach",Program,Criminal,2
05043,"Bug",Program,Criminal,1
05044,"Gingerbread",Program,Criminal,2
05045,"Grappling Hook",Program,Criminal,2
05046,"Passport",Program,Criminal,2
05047,"Push Your Luck",Event,Criminal,1
05048,"Security Testing",Resource,Criminal,3
05049,"Theophilius Bagbiter",Resource,Criminal,4
05050,"Tri-maf Contact",Resource,Criminal,1
05051,"Mass Install",Event,Neutral,0
05052,"Q-Coherence Chip",Hardware,Neutral,0
05053,"Overmind",Program,Neutral,0
05054,"Oracle May",Resource,Neutral,1
05055,"Donut Taganes",Resource,Neutral,2
06001,"Domestic Sleepers",Agenda,HaasBioroid,0
06002,"NEXT Silver",ICE,HaasBioroid,2
06003,"Lotus Field",ICE,Jinteki,1
06004,"Mutate",Operation,Jinteki,3
06005,"Near-Earth Hub: Broadcast Center",Identity,NBN,17
06006,"Primary Transmission Dish",Asset,NBN,2
06007,"Midway Station Grid",Upgrade,NBN,4
06008,"The Root",Asset,Weyland,3
06009,"Taurus",ICE,Weyland,2
06010,"Mother Goddess",ICE,Neutral,0
06011,"Galahad",ICE,Neutral,1
06012,"Bad Times",Operation,Neutral,0
06013,"Cyber Threat",Event,Anarch,3
06014,"Lamprey",Program,Anarch,2
06015,"Paper Tripping",Event,Criminal,2
06016,"Power Tap",Resource,Criminal,1
06017,"Nasir Meidan: Cyber Explorer",Identity,Shaper,15
06018,"Social Engineering",Event,Shaper,2
06019,"Leprechaun",Program,Shaper,2
06020,"Eden Shard",Resource,Neutral,1
06021,"The Foundry: Refining the Process",Identity,HaasBioroid,15
06022,"Enhanced Login Protocol",Operation,HaasBioroid,2
06023,"Heinlein Grid",Upgrade,HaasBioroid,2
06024,"Encrypted Portals",Agenda,Jinteki,0
06025,"Cerebral Static",Operation,Jinteki,2
06026,"Targeted Marketing",Operation,NBN,1
06027,"Information Overload",ICE,NBN,2
06028,"Paywall Implementation",Operation,Weyland,2
06029,"Sealed Vault",Asset,Weyland,1
06030,"Eden Fragment",Agenda,Neutral,0
06031,"Lag Time",Operation,Neutral,0
06032,"Will-o'-the-Wisp",Upgrade,Neutral,0
06033,"D4v1d",Program,Anarch,4
06034,"Scrubbed",Event,Anarch,2
06035,"Three Steps Ahead",Event,Criminal,2
06036,"Unscheduled Maintenance",Event,Criminal,2
06037,"Cache",Program,Criminal,1
06038,"Net Celebrity",Event,Shaper,1
06039,"LLDS Energy Regulator",Program,Shaper,1
06040,"Ghost Runner",Resource,Neutral,0
06041,"IQ",ICE,HaasBioroid,2
06042,"Eliza's Toybox",Asset,HaasBioroid,2
06043,"Kitsune",ICE,Jinteki,2
06044,"Port Anson Grid",Upgrade,Jinteki,2
06045,"The News Now Hour",Asset,NBN,3
06046,"Manhunt",Operation,NBN,3
06047,"Wendigo",ICE,Weyland,2
06048,"Crisium Grid",Upgrade,Weyland,1
06049,"Chronos Project",Agenda,Neutral,0
06050,"Shattered Remains",Asset,Neutral,0
06051,"Lancelot",ICE,Neutral,1
06052,"Quetzal: Free Spirit",Identity,Anarch,15
06053,"BlacKat",Program,Anarch,3
06054,"Duggar's",Resource,Anarch,4
06055,"Box-E",Hardware,Criminal,1
06056,"The Supplier",Resource,Criminal,2
06057,"Refractor",Program,Shaper,2
06058,"Order of Sol",Resource,Shaper,1
06059,"Hades Shard",Resource,Neutral,1
06060,"Rachel Beckman",Resource,Neutral,1
06061,"Architect",ICE,HaasBioroid,2
06062,"Peak Efficiency",Operation,HaasBioroid,1
06063,"Labyrinthine Servers",Agenda,Jinteki,0
06064,"Ashigaru",ICE,Jinteki,3
06065,"Mamba",ICE,Jinteki,2
06066,"Reversed Accounts",Asset,NBN,1
06067,"Universal Connectivity Fee",ICE,NBN,1
06068,"Blue Sun: Powering the Future",Identity,Weyland,15
06069,"Changeling",ICE,Weyland,2
06070,"Reuse",Operation,Weyland,1
06071,"Hades Fragment",Agenda,Neutral,0
06072,"Docklands Crackdown",Asset,Neutral,0
06073,"Inject",Event,Anarch,2
06074,"Origami",Program,Anarch,2
06075,"Fester",Resource,Anarch,1
06076,"Autoscripter",Hardware,Criminal,3
06077,"Switchblade",Program,Criminal,2
06078,"Trade-In",Event,Shaper,2
06079,"Astrolabe",Hardware,Shaper,2
06080,"Angel Arena",Resource,Neutral,0
06081,"Bifrost Array",Agenda,HaasBioroid,0
06082,"Sagittarius",ICE,HaasBioroid,2
06083,"Hostile Infrastructure",Asset,Jinteki,2
06084,"Gemini",ICE,Jinteki,2
06085,"License Acquisition",Agenda,NBN,0
06086,"Daily Business Show",Asset,NBN,1
06087,"Superior Cyberwalls",Agenda,Weyland,0
06088,"Executive Boot Camp",Asset,Weyland,1
06089,"Lycan",ICE,Weyland,2
06090,"Snatch and Grab",Operation,Neutral,0
06091,"Merlin",ICE,Neutral,1
06092,"Shell Corporation",Upgrade,Neutral,0
06093,"Ekomind",Hardware,Anarch,3
06094,"Cerberus ""Cuj.0"" H3",Program,Anarch,3
06095,"Leela Patel: Trained Pragmatist",Identity,Criminal,15
06096,"Cerberus ""Rex"" H2",Program,Criminal,3
06097,"Zona Sul Shipping",Resource,Criminal,1
06098,"Cybsoft MacroDrive",Hardware,Shaper,1
06099,"Cerberus ""Lady"" H1",Program,Shaper,3
06100,"Utopia Shard",Resource,Neutral,1
06101,"Helium-3 Deposit",Agenda,Weyland,0
06102,"Errand Boy",ICE,Weyland,1
06103,"IT Department",Asset,HaasBioroid,1
06104,"Markus 1.0",ICE,HaasBioroid,1
06105,"Industrial Genomics: Growing Solutions",Identity,Jinteki,15
06106,"Turtlebacks",Asset,Jinteki,1
06107,"Shoot the Moon",Operation,NBN,2
06108,"Troll",ICE,NBN,2
06109,"Virgo",ICE,NBN,2
06110,"Utopia Fragment",Agenda,Neutral,0
06111,"Excalibur",ICE,Neutral,0
06112,"Self-destruct",Upgrade,Neutral,0
06113,"Incubator",Program,Anarch,3
06114,"Ixodidae",Program,Anarch,2
06115,"Code Siphon",Event,Shaper,4
06116,"Collective Consciousness",Program,Shaper,2
06117,"Sage",Program,Shaper,3
06118,"Bribery",Event,Criminal,2
06119,"Au Revoir",Program,Criminal,2
06120,"Earthrise Hotel",Resource,Neutral,0
07001,"Argus Security: Protection Guaranteed",Identity,Weyland,15
07002,"Gagarin Deep Space: Expanding the Horizon",Identity,Weyland,15
07003,"Titan Transnational: Investing In Your Future",Identity,Weyland,17
07004,"Firmware Updates",Agenda,Weyland,0
07005,"Glenn Station",Agenda,Weyland,0
07006,"Government Takeover",Agenda,Weyland,0
07007,"High-Risk Investment",Agenda,Weyland,0
07008,"Constellation Protocol",Asset,Weyland,2
07009,"Mark Yale",Asset,Weyland,1
07010,"Space Camp",Asset,Weyland,1
07011,"The Board",Asset,Weyland,5
07012,"Asteroid Belt",ICE,Weyland,2
07013,"Wormhole",ICE,Weyland,2
07014,"Nebula",ICE,Weyland,2
